Index,Content,Label
38,"['firea', 'acuzat', 'lipsă', 'implicare', 'reamintit', 'bucureştenilor', 'proiectele', 'lea', 'condus', 'vizează', 'transportul', 'public', 'comun', 'copii', 'clădirea', 'conform', 'spun', 'mau', 'votat', 'mau', 'votat', 'simpatie', 'faţă', 'partidul', 'carel', 'reprezint', 'antipatie', 'faţă', 'partid', 'neutri', 'nehotărâţi', 'moment', 'săşi', 'aducă', 'aminte', 'preluat', 'an', 'zile', 'primar', 'partea', 'interimar', 'realizat', 'absolut', 'dumnealui', 'ajuns', 'printro', 'conjunctură', 'făcut', 'decât', 'minimanagement', 'administrativ', 'niciun', 'proiect', 'proiecte', 'blocate', 'ani', 'zile', 'leam', 'desţelenit', 'spun', 'câteva', 'nuşi', 'aduc', 'aminte', 'făcut', 'rând', 'transportul', 'public', 'comun', 'găsit', 'şase', 'autobuze', 'majoritatea', 'stricate', 'aduceţivă', 'aminte', 'cozi', 'erau', 'staţii', 'oamenii', 'stăteau', 'sardelele', 'autobuz', 'plus', 'zeci', 'minute', 'şir', 'staţii', 'arşiţă', 'ploaie', 'vânt', 'rând', 'spus', 'trebuie', 'redăm', 'bucureştenilor', 'posibilitatea', 'măcar', 'dispoziţie', 'autobuze', 'tramvaie', 'troleibuze', 'renunţe', 'maşina', 'personală', 'aşa', 'primele', 'autobuze', 'prietenoase', 'mediul', 'autobuze', 'hibrid', 'electrice', 'sfârşitul', 'mandatului', 'finalizat', 'procedurile', 'tramvaie', 'troleibuze', 'autobuzele', 'acum', 'circulă', 'lumea', 'aducem', 'aminte', 'autobuze', 'vechi', 'erau', 'vara', 'mureai', 'cald', 'iarna', 'mureai', 'frig', 'rămâneai', 'pană', 'siguranţă', 'luai', 'autobuz', 'ajungeai', 'destinaţie', 'investiţie', 'transportul', 'public', 'comun', 'explicat', 'joi']",
39,"['mutarea', 'ultimă', 'oră', 'palat', 'surprins', 'imagini', 'timp', 'intra', 'locuința', 'potrivit', 'și', 'motivul', 'exact', 'vizite', 'rămâne', 'neclar']",
40,"['candidatul', 'fața', 'sediului', 'auzit', 'făcut', 'acru', 'gură', 'scos', 'primăria', 'faliment', 'fals', 'declarat', 'timpul', 'mandatului', 'crescut', 'jumătate', 'miliard', 'lei', 'subliniat', 'edilul', 'general', 'minţit', 'când', 'afirmat', 'scos', 'instituţia', 'faliment', 'conform', 'întrebare', 'minte', 'episodul', 'astăzi', 'prezenta', 'situaţia', 'bugetului', 'conform', 'datelor', 'oficiale', 'haideţi', 'începem', 'partea', 'venituri', 'încasat', 'mandatul', 'ultimii', 'ani', 'veniturile', 'încasat', 'primăria', 'miliarde', 'lei', 'observăm', 'creştere', 'special', 'când', 'miliarde', 'lei', 'venituri', 'proprii', 'total', 'miliarde', 'lei', 'înseamnă', 'creştere', 'aproape', 'simplu', 'dublu', 'mandatul', 'bani', 'primărie', 'aproape', 'miliarde', 'lei', 'plus', 'explicat', 'întro', 'conferinţă', 'presă', 'organizată', 'joi', 'faţa', 'sediului']",
41,"['firea', 'plâns', 'moştenit', 'datorii', 'leam', 'achitat', 'primar', 'general', 'mam', 'plâns', 'declarat', 'plâns', 'moştenit', 'datorii', 'perioada', 'când', 'conducerea', 'însă', 'subliniat', 'achitat', 'datorii', 'conform', 'finanţelor', 'publice', 'locale', 'potrivit', 'plâns', 'moştenit', 'datorii', 'arătat', 'moştenit', 'datorii', 'leam', 'achitat', 'primar', 'general', 'aşa', 'finanţelor', 'publice', 'locale', 'mam', 'plâns', 'datorii', 'foştii', 'primari', 'considerat', 'împrumuturi', 'făcut', 'dezvoltarea', 'leam', 'achitat', 'numele', 'bucureştenilor', 'aşa', 'trebuia', 'procedeze', 'actualul', 'primar', 'ebuia', 'achite', 'obligaţii', 'plecat', 'acasă', 'bani', 'afirmat', 'joi']",
42,"['corina', 'aderarea', 'mare', 'rată', 'creştere', 'cap', 'locuitor', 'regiune', 'comisar', 'european', 'afirmă', 'ocazia', 'apartenenţa', 'marea', 'familie', 'europeană', 'oferă', 'beneficii', 'enorme', 'privesc', 'libera', 'circulaţie', 'faptul', 'românii', 'lucra', 'studia', 'stat', 'membru', 'impuse', 'condiţii', 'suplimentare', 'faţă', 'trebuie', 'respecte', 'cetăţenii', 'statelor', 'respective', 'potrivit', 'dublă', 'semnificaţie', 'stat', 'anul', 'rostea', 'plenul', 'act', 'consfinţea', 'înscrierea', 'definitivă', 'ţării', 'harta', 'ani', 'târziu', 'ministrul', 'francez', 'propunea', 'stabilirea', 'forme', 'cooperare', 'politică', 'înlăture', 'totdeauna', 'posibilitatea', 'izbucnirii', 'război', 'între', 'naţiunile', 'pas', 'crearea', 'azi', 'numim', 'apartenenţa', 'marea', 'familie', 'europeană', 'oferă', 'beneficii', 'enorme', 'privesc', 'libera', 'circulaţie', 'faptul', 'românii', 'lucra', 'studia', 'stat', 'membru', 'impuse', 'condiţii', 'suplimentare', 'faţă', 'trebuie', 'respecte', 'naţionalii', 'statelor', 'respective', 'dela', 'aderarea', 'mare', 'rată', 'creştere', 'cap', 'locuitor', 'regiune', 'devenit', 'destinaţie', 'atractivă', 'investitorii', 'străini', 'veniturile', 'românilor', 'crescut', 'constant', 'timp', 'exporturile', 'triplat', 'afirmă', 'întro', 'postare']",
43,"['cîţu', 'provoacă', 'liderul', 'dezbatere', 'rămâi', 'mitoman', 'frustrat', 'premier', 'răspunde', 'joi', 'premierului', 'liderul', 'afirmase', 'datoria', 'publică', 'februarie', 'cauza', 'guvernării', 'deoarece', 'făcutîmprumuturide', 'miliarde', 'lei', 'conform', 'rămâi', 'frustrat', 'curaj', 'dezbatem', 'public', 'situaţia', 'economică', 'guvernarea', 'liberală', 'vs', 'guvernarea', 'socialistă', 'ţine', 'şefu', 'mână', 'praf', 'tovarăşe', 'guvernul', 'dintro', 'eroare', 'istorică', 'conduci', 'spune', 'guvernarea', 'socialistă', 'împrumutat', 'bani', 'istoria', 'scrie', 'fostul', 'premier', 'întro', 'postare']",
44,"['oară', 'istoria', 'când', 'depăși', 'procentul', 'alocat', 'investiții', 'declarat', 'joi', 'debutul', 'ședinței', 'anul', 'oară', 'istoria', 'când', 'depăși', 'procentul', 'alocat', 'pentruinvestiții', 'și', 'cred', 'modul', 'potrivit', 'putem', 'celebra', 'folosind', 'eficient', 'toți', 'banii', 'europeni', 'disponibili', 'modernizarea', 'țării', 'adoptăm', 'azi', 'ordonanță', 'urgență', 'venim', 'soluții', 'finalizarea', 'bune', 'condiții', 'finanțării', 'proiecte', 'susținute', 'bani', 'europeni', 'așa', 'dus', 'absorbția', 'exercițiul', 'vrem', 'facem', 'și', 'fondurile', 'și', 'actualul', 'exercițiu', 'financiar', 'european', 'declarat', 'premierul']",
45,"['drulă', 'prezice', 'falimentul', 'bugetară', 'achitată', 'români', 'transmite', 'joi', 'având', 'miliard', 'lei', 'pierderi', 'falimentul', 'aproape', 'final', 'gaura', 'bugetară', 'achitată', 'români', 'estimate', 'anul', 'mari', 'decât', 'raportate', 'decembrie', 'opt', 'luni', 'mam', 'bătut', 'feroviarul', 'ignorat', 'reuşit', 'atrag', 'miliarde', 'euro', 'bani', 'căi', 'ferate', 'modernizate', 'reparate', 'trenuri', 'scopul', 'aducem', 'calea', 'ferată', 'românească', 'scris', 'liderul']",
46,"['ciolacu', 'scăzut', 'prețurile', 'facturilor', 'gaze', 'naturale', 'și', 'electricitate', 'declarat', 'joi', 'debutul', 'ședinței', 'prețurile', 'lagazeșielectricitateau', 'scăzut', 'menționat', 'și', 'serie', 'investiții']",
47,"['candidaţi', 'preşedinţia', 'cercetat', 'deputaţi', 'printre', 'concurenți', 'persoane', 'candidează', 'şefia', 'între', 'fiind', 'actualul', 'preşedinte', 'instituţiei', 'cercetat', 'control', 'judiciar', 'fapte', 'corupţie', 'deputaţi', 'fostul', 'prefect', 'judeţului', 'cadru', 'militar', 'potrivit', 'conform', 'datelor', 'publicate', 'privire', 'rămânerea', 'definitivă', 'acandidaturilorla', 'funcţia', 'preşedinte', 'cursa', 'electorală', 'intră', 'fostul', 'prefect', 'deputaţii', 'pensionar', 'militar', 'jurist', 'inginer', 'antreprenor', 's', 'românia']",
48,"['rareș', 'sondajele', 'reacționat', 'sondajele', 'opinie', 'privind', 'alegerile', 'potrivit', 'acestuia', 'apropie', 'pragul', 'fiind', 'estimat', 'jurul', 'valorii', 'prezent', 'sondajele', 'interne', 'partidului', 'focus', 'grupurile', 'făcute', 'și', 'sondajele', 'sondaje', 'săptămână', 'plus', 'focus', 'grupuri', 'diverse', 'categorii', 'profesionale', 'încercăm', 'mergem', 'microtargetat', 'publicul', 'întro', 'mare', 'măsură', 'nehotărât', 'și', 'nemulțumit', 'întâmplat', 'ultimilor', 'ani', 'arată', 'studiile', 'arată', 'astăzi', 'situație', 'îndreaptă', 'recuperează', 'votanții', 'precădere', 'și', 'nehotărâți', 'nicușor', 'coborât', 'sărit']",
49,"['ciolacu', 'răbufnit', 'ședința', 'comercianți', 'scăzut', 'gramajul', 'produse', 'scumpire', 'camuflată', 'declarat', 'joi', 'debutul', 'ședinței', 'comercianți', 'scăzut', 'gramajul', 'produse', 'lăsat', 'prețurile', 'mari', 'ciolacu', 'precizat', 'ședința', 'aloca', 'fonduri', 'regim', 'urgență', 'repararea', 'solului', 'stradă', 'surpat', 'formând', 'crater']",
